,T1_label,RH1_label,T2_label,RH2_label,T3_label,RH3_label,T4_label,RH4_label,T5_label,RH5_label,T6_label,RH6_label,T7_label,RH7_label,T8_label,RH8_label,T9_label,RH9_label,PRESSURE_label,WIND_label,VISIBILITY_label,APPLIANCE_label
0,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,High,High,Low
1,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,High,High,Low
2,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,High,Low
3,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
4,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
5,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
6,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
7,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
8,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
9,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
10,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
11,hot,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,High
12,hot,comfortable,warm,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,High
13,hot,comfortable,warm,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
14,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
15,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
16,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
17,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
18,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
19,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
20,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
21,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
22,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
23,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
24,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
25,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
26,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,humid,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
27,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
28,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
29,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
30,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
31,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
32,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
33,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
34,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,High,Medium,Medium
35,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,High,Medium,Low
36,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,High,Medium,Low
37,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,High,Medium,Low
38,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,High,Medium,Low
39,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Low,Low
40,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Low,Low
41,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Low,Low
42,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Low,Low
43,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Low,Low
44,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Low,Low
45,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Low,Low
46,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
47,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
48,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
49,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Medium
50,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
51,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
52,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
53,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
54,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
55,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
56,hot,comfortable,hot,comfortable,hot,comfortable,hot,comfortable,warm,comfortable,cold,humid,warm,comfortable,warm,comfortable,warm,comfortable,Medium,Medium,Medium,Low
